ID,IMMAGINE,DOMANDA,RISPOSTA 1,RISPOSTA 1 V/F,RISPOSTA 2,RISPOSTA 2 V/F,RISPOSTA 3,RISPOSTA 3 V/F,PROGRESSIVO,CAPITOLO,TEMA,VOCE
490,,La navigazione a motore può essere interdetta?,mai.,F,"no, non può essere soggetta ad alcuna limitazione.",F,"si, per esempio nella fascia di mare prioritariamente riservata alla balneazione.",V,1.4.2-25,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
491,,La pesca subacquea sportiva è consentita:,oltre 500 metri dalle spiagge frequentate dai bagnanti.,V,oltre 200 metri dalle spiagge frequentate dai bagnanti.,F,non esistono limiti di distanza.,F,1.4.2-26,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
492,,Si può effettuare la pesca subacquea sportiva con fucile nelle ore notturne?,no.,V,"sì, se il pescatore è segnalato da una sorgente di luce.",F,"sì, purchè in prossimità di un'unità di appoggio.",F,1.4.2-27,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
493,,E' possibile l'uso della rete a circuizione per l'esercizio della pesca sportiva con unità da diporto?,"sì, per la pesca sportiva in ore notturne.",F,"sì, per la pesca sportiva in ore diurne.",F,"no, non è possibile.",V,1.4.2-28,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
494,,E' possibile praticare la pesca professionale a bordo delle unità da diporto?,"no, non è possibile.",V,"sì, a seguito di rilascio del previsto permesso di pesca.",F,"sì, è possibile.",F,1.4.2-29,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
495,,L'esercizio della pesca subacquea sportiva è vietato a distanza inferiore a:,200 metri dalle spiagge frequentate da bagnanti.,F,100 metri dagli impianti fissi di pesca.,V,500 metri dalle navi all'ancora in rada.,F,1.4.2-30,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
496,,La pesca subacquea sportiva può essere esercitata con l'uso di apparecchi ausiliari di respirazione?,"si, in ogni caso.",F,"no, mai.",V,"si, ma solo per la raccolta di coralli, molluschi e crostacei.",F,1.4.2-31,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
497,,L'esercizio dell'attività di pesca sportiva (non subacquea) con l'unità da diporto:,è soggetto a limiti di età.,F,è vietato a meno di 500 metri da unità in attività di pesca professionale.,V,"non ammette l'uso di fonti luminose notturne, senza alcuna eccezione.",F,1.4.2-32,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
498,,Da cosa dipende la resistenza alla trazione di un'ancora?,dalla conformazione del diamante.,F,"dal suo peso e, in parte, dalla forma.",V,dalla presenza di spigoli vivi.,F,1.4.3-1,BASE,MANOVRA E CONDOTTA,Ancoraggio
499,,Quali tra questi fattori dovranno essere tenuti in considerazione prima di dare fondo all'ancora?,il rapporto tra la lunghezza dell'unità navale e le lunghezze di catena da filare in relazione all'altezza minima e massima delle onde.,F,"la distanza tra il verricello dell'ancora e il livello medio del mare, nonché l'altezza minima delle onde.",F,la presenza di possibili divieti nonché la situazione meteomarina locale.,V,1.4.3-2,BASE,MANOVRA E CONDOTTA,Ancoraggio
500,,Quante lunghezze di cima-catena è opportuno filare durante la manovra di ancoraggio?,da 3 a 5 volte il fondale.,V,da 1 a 2 volte il fondale.,F,una quantità di catena prossima alla profondità del fondale..,F,1.4.3-3,BASE,MANOVRA E CONDOTTA,Ancoraggio
501,,Quando viene utilizzato di massima l'ormeggio su di un ancora o a ruota?,in presenza di condimeteo particolarmente avverse.,F,negli specchi d'acqua caratterizzati da un adeguato spazio libero intorno.,V,con una quantità di catena tale da farla risultare a picco.,F,1.4.3-4,BASE,MANOVRA E CONDOTTA,Ancoraggio
502,,"Quale tipologia di ancoraggio è opportuno adottare, di massima, nei fiumi?",utilizzando due ancore le cui catene siano disposte parallelamente tra loro e affondate in direzione perpendicolare alla corrente.,F,"utilizzando due ancore le cui catene creino tra loro un angolo di 180°, affondate nella direzione della corrente.",V,utilizzando una sola ancora la cui catena abbia una lunghezza pari a due volte il fondale.,F,1.4.3-5,BASE,MANOVRA E CONDOTTA,Ancoraggio
503,,"L'ancora a ombrello, con le marre richiudibile, è generalmente è utilizzata:","da piccole unità, tra cui i battelli gonfiabili.",V,da unità di grandi dimensioni.,F,da unità  a vela.,F,1.4.3-6,BASE,MANOVRA E CONDOTTA,Ancoraggio
504,,Quali sono le principali caratteristiche del grappino?,"si tratta di un'ancora di piccole dimensioni a otto marre fisse con artigli, utilizzata per ancoraggi di unità navali di grandi dimensioni.",F,"si tratta di un'ancora di piccole dimensioni a quattro marre mobili, utilizzata per manovre di affiancamento ad altre unità.",F,"si tratta di un'ancora di piccole dimensioni a quattro marre fisse, utilizzata solo per ancoraggi di piccole unità.",V,1.4.3-7,BASE,MANOVRA E CONDOTTA,Ancoraggio
505,,Quali sono le principali caratteristiche dell'ancora Bruce?,è un'ancora costruita in lega di carbonio dotata di due marre divergenti e semi- mobili.,F,è un'ancora costruita in un'unica marra mobile a forma di martello.,F,"è un'ancora costituita da un monoblocco, dotata di una sola marra a forma di ala e priva di altre parti articolate.",V,1.4.3-8,BASE,MANOVRA E CONDOTTA,Ancoraggio
506,,Le catene dell'ancora utilizzate a bordo delle imbarcazioni sono costituite da maglie aventi forma:,circolare.,F,ellittica.,V,iperbolica.,F,1.4.3-9,BASE,MANOVRA E CONDOTTA,Ancoraggio
507,,"Cosa si intende per ""barbotin""?",l'argano utilizzato per agevolare l'issaggio dei pesi a bordo dell'unità navale.,F,"la ruota sagomata con impronta della catena, posta alla base del verricello, che evita lo slittamento delle maglie di catena durante le operazioni di manovra dell'ancora.",V,un verricello utilizzato per tenere le ancore in tensione durante la manovra di ancoraggio.,F,1.4.3-10,BASE,MANOVRA E CONDOTTA,Ancoraggio
508,,Quale vantaggio offre l'ancoraggio mediante due ancore afforcate?,ridurre il campo di giro dell'unità che così assume una configurazione ellittica a differenza dell'ancoraggio a ruota.,V,velocizzare la manovra di ancoraggio dell'unità rispetto all'ancoraggio con una sola ancora.,F,garantire l'ancoraggio di un'unità  anche su fondali particolarmente rocciosi.,F,1.4.3-11,BASE,MANOVRA E CONDOTTA,Ancoraggio
509,,Quali sono le fasi principali che caratterizzano una manovra di ancoraggio?,si dirige sul posto di ancoraggio a velocità moderata e con la poppa al vento. Si fila la catena dell'ancora dando un leggero colpo a marcia avanti.,F,si dirige sul posto di ancoraggio a velocità di crociera e con la prora sottovento. Si fila l'ancora completamente una volta che l'unità è ferma.,F,"si dirige sul posto di ancoraggio con il solo abbrivio, mantenendo la prua al vento o alla corrente. Si dà fondo all'ancora,  dando contemporaneamente un leggero colpo a marcia indietro.",V,1.4.3-12,BASE,MANOVRA E CONDOTTA,Ancoraggio
510,,Quando è opportuno utilizzare la grippia e il grippiale prima di dare fondo all'ancora?,"se si è costretti ad ancorare su un fondale roccioso o cosparso di relitti, ove l'ancora può restare incastrata.",V,"se si è costretti ad ancorare su un fondo fangoso, ove l'ancora può penetrare molto.",F,se si è costretti ad ancorare su un fondo sabbioso o argilloso ove l'ancora può arare.,F,1.4.3-13,BASE,MANOVRA E CONDOTTA,Ancoraggio
511,,"Com'è costituita una ""grippia""?","da una catena formata da maglie ellittiche, di cui un'estremità è vincolata al maniglione  dell'ancora e l'altra a un parabordo.",F,"da una cima piuttosto sottile, di cui un'estremità è vincolata al diamante dell'ancora mentre l'altra è attestata ad un gavitello.",V,"da una catena formata da maglie circolari, di cui un'estremità è vincolata al maniglione dell'ancora e l'altra a un golfare posto a proravia dell'unità navale.",F,1.4.3-14,BASE,MANOVRA E CONDOTTA,Ancoraggio
512,,Quali accorgimenti devono essere adottati per controllare la corretta tenuta dell'ancora?,è opportuno effettuare delle ispezioni subacquee a intervalli di tempo regolare.,F,"è opportuno effettuare dei rilevamenti  successivi, mediante di punti cospicui della costa, oppure dei punti nave successivi.",V,scandagliare il fondale a prora e a poppa rispettivamente all'alba e al tramonto.,F,1.4.3-15,BASE,MANOVRA E CONDOTTA,Ancoraggio
513,,I bracci delle ancore sono denominati:,uncini.,F,bracci.,F,marre.,V,1.4.3-16,BASE,MANOVRA E CONDOTTA,Ancoraggio
514,,"Quando un'ancora fa testa, significa che:",ha fatto presa sul fondo.,V,si è incattivita.,F,si presenta rovesciata sul fondale.,F,1.4.3-17,BASE,MANOVRA E CONDOTTA,Ancoraggio
515,,"Riguardo alla tenuta di un ancoraggio, si può dire che:",il calumo è bene che sia lungo sempre 10 metri.,F,è sempre meglio scegliere un fondale roccioso.,F,"l'ancora deve rimanere orizzontale sul fondo, anche se la barca fa forza sul calumo.",V,1.4.3-18,BASE,MANOVRA E CONDOTTA,Ancoraggio
516,,"La parte inferiore, al centro delle marre, di un'ancora è denominata:",unghia.,F,scalmo.,F,diamante.,V,1.4.3-19,BASE,MANOVRA E CONDOTTA,Ancoraggio
517,,Il termine calumo indica:,che abbiamo finito di calare un’ancora.,F,la profondità della zona ove si vuole dar fondo all’ancora.,F,la parte di catena che viene a trovarsi fuori bordo.,V,1.4.3-20,BASE,MANOVRA E CONDOTTA,Ancoraggio
518,,"Secondo una buona regola marinara, qual è il peso ideale di un'ancora da utilizzare per un'unità di 10 metri?",tra 21 e 25 Kg.,F,tra 10 e 14 Kg.,F,tra 15 e 20 Kg.,V,1.4.3-21,BASE,MANOVRA E CONDOTTA,Ancoraggio
519,,Un'unità afforcata è quell'unità che:,non riesce a spedare le ancore.,F,ha dato fondo a 2 ancore con calumi aperti a 180 gradi circa.,F,ha dato fondo a 2 ancore con calumi aperti a 45 gradi circa.,V,1.4.3-22,BASE,MANOVRA E CONDOTTA,Ancoraggio
520,,Nell'ancoraggio alla ruota cosa non è da fare?,dare un calumo adatto alle condizioni meteo.,F,prendere dei rilevamenti di un paio di punti della costa.,F,dar fondo anche da poppa ad un'ancora supplementare.,V,1.4.3-23,BASE,MANOVRA E CONDOTTA,Ancoraggio
521,,"Se un'ancora non tiene, si dice che:",sta arando.,V,fa testa.,F,sta agguantando.,F,1.4.3-24,BASE,MANOVRA E CONDOTTA,Ancoraggio
522,,Com'è denominata la parte dell'ancora che fa presa sul fondo?,marra.,V,diamante.,F,fuso.,F,1.4.3-25,BASE,MANOVRA E CONDOTTA,Ancoraggio
523,,"La ""grippia"" è una cima che si lega:",al fuso per regolare l'ancoraggio.,F,al diamante dell'ancora per facilitarne il recupero.,V,all'anello dell'ancora per evitare che l'ancora ari.,F,1.4.3-26,BASE,MANOVRA E CONDOTTA,Ancoraggio
524,,"Per stare alla fonda con mare calmo su un fondale di 16 metri, quanta cima bisogna filare?",almeno 38 metri.,F,almeno 40 metri.,F,almeno 48 metri.,V,1.4.3-27,BASE,MANOVRA E CONDOTTA,Ancoraggio
525,,"Il ""ferro"" a grappino è:",un gancio per le vele.,F,un ancorotto per piccole imbarcazioni.,V,un tipo di ancora di emergenza.,F,1.4.3-28,BASE,MANOVRA E CONDOTTA,Ancoraggio
526,,"Per stare alla fonda con mare calmo su un fondale di 9 metri, quanta cima bisogna filare?",almeno 21 metri.,F,almeno 15 metri.,F,almeno 27 metri.,V,1.4.3-29,BASE,MANOVRA E CONDOTTA,Ancoraggio
527,,"Per stare alla fonda con mare calmo su un fondale di 5 metri, quanta cima bisogna filare?",almeno 12 metri.,F,almeno 15 metri.,V,almeno 11 metri.,F,1.4.3-30,BASE,MANOVRA E CONDOTTA,Ancoraggio
528,,"Quando un'ancora fa testa, significa che:",ha fatto presa sul fondo.,V,si è staccata dalla catena.,F,non si riesce a salpare.,F,1.4.3-31,BASE,MANOVRA E CONDOTTA,Ancoraggio
529,,"Riguardo alla tenuta di un ancoraggio, si può dire che:",il calumo è bene che sia lungo al massimo due volte il fondale.,F,"se il fondo è in pendenza, l'ancora deve essere tirata verso il fondale più profondo.",F,il calumo viene aumentato da 3 a 5 volte il fondale in funzioni delle condizioni meteomarine.,V,1.4.3-32,BASE,MANOVRA E CONDOTTA,Ancoraggio
530,,"La parte inferiore, al centro delle marre, di un'ancora è denominata:",patta.,F,ceppo.,F,diamante.,V,1.4.3-33,BASE,MANOVRA E CONDOTTA,Ancoraggio
531,,Il termine calumo indica:,che abbiamo finito di calare un’ancora.,F,la profondità della zona ove si vuole dar fondo all’ancora.,F,la lunghezza di cima e/o catena filati per dar fondo all’ancora.,V,1.4.3-34,BASE,MANOVRA E CONDOTTA,Ancoraggio
532,,Ancorare alla ruota significa:,il giro di 360 gradi intorno all’ancora per rendere efficace il grippiale.,F,il giro di 360 gradi effettuato intorno all’ancora prima di aver dato fondo.,F,la libertà di rotazione di 360 gradi dell’imbarcazione alla fonda.,V,1.4.3-35,BASE,MANOVRA E CONDOTTA,Ancoraggio
533,,L’ancoraggio utilizzando una sola ancora filata di prora è denominato:,incattivito.,F,alla ruota.,V,appennellato.,F,1.4.3-36,BASE,MANOVRA E CONDOTTA,Ancoraggio
534,,Di un'ancora si dice che speda se:,ha fatto presa sul fondo.,F,non tiene la presa sul fondo.,V,è sospesa sotto la prua.,F,1.4.3-37,BASE,MANOVRA E CONDOTTA,Ancoraggio
535,,Le cosiddette ancore appennellate si hanno quando:,"per una migliore tenuta in condizioni critiche, al diamante dell'ancora principale viene fissata una seconda ancora, detta ""pennello"", con una catena di 4-6 metri.",V,si dà fondo a 2 ancore con calumi aperti a 180 gradi circa.,F,si dà fondo a 2 ancore con calumi aperti a 45 gradi circa.,F,1.4.3-38,BASE,MANOVRA E CONDOTTA,Ancoraggio
536,,"Con riferimento all'utilizzo dell'ancora in funzione del fondale, è possibile affermare che:",lunghezza del cavo-catena deve essere sempre superiore a 6 volte il fondale.,F,l'ancora Danforth è ottima su fondali sabbiosi-fangosi.,V,l'ancora Danforth è consigliata sui fondali rocciosi.,F,1.4.3-39,BASE,MANOVRA E CONDOTTA,Ancoraggio
537,,"Con riferimento ai vari tipi di ancore, è possibile affermare che:","la Bruce è la tipica ancora delle navi, passante lo scafo attraverso l’occhio di cubia.",F,la Danforth è adatta allo scoglio.,F,la CQR e la Delta sono tipi di ancora per tutti i fondali.,V,1.4.3-40,BASE,MANOVRA E CONDOTTA,Ancoraggio
538,,"L'ancoraggio in una baia di più unità a murata, è:",sconsigliato perché si è esposti al moto ondoso.,V,consigliato con mare molto mosso.,F,consigliato solo tra barche a motore.,F,1.4.3-41,BASE,MANOVRA E CONDOTTA,Ancoraggio
539,,La procedura comunemente utilizzata per un coretto ancoraggio è:,"dopo aver filato una quantità di cavo-cima pari almeno 3 volte il fondale, si spegne il motore.",F,"dopo aver filato un'adeguata quantità di calumo, si inizia a indietreggiare leggermente, continuando a filare il cavo- cima, al fine di stendere il calumo opportuno e far fare testa all'ancora.",V,"dopo aver filato una quantità di cavo-cima pari alla profondità del fondale, si indietreggia velocemente.",F,1.4.3-42,BASE,MANOVRA E CONDOTTA,Ancoraggio
540,,La procedura comunemente utilizzata per un coretto ancoraggio è:,"dopo aver ingranato la retromarcia, si inizia a calare l'ancora.",F,"dopo aver disposto la prua dell'unità al vento, esaurito l'abbrivio, si cala l'ancora.",V,"dopo aver filato una quantità adeguata di calumo, si dispone l'unità con prua al vento.",F,1.4.3-43,BASE,MANOVRA E CONDOTTA,Ancoraggio
541,Figura 22,"Nella situazione illustrata di unità alla fonda, dove è più opportuno calare l'ancora?",nel punto A.,F,nel punto B.,F,nel punto C.,V,1.4.3-44,BASE,MANOVRA E CONDOTTA,Ancoraggio
542,Figura 23,Qual è la posizione corretta per l'ancoraggio nella rada affollata riportata in figura?,"quella della barca A, perché più esterna alle altre unità.",F,"quella della barca B, perché ha spazio per la ruota.",V,"quella della barca C, perché è la più lontana dalle altre unità.",F,1.4.3-45,BASE,MANOVRA E CONDOTTA,Ancoraggio
543,,"In caso di ancoraggio con vento forte, è consigliabile:",iniziare ad ingranare la retromarcia prima di calare l'ancora.,F,calare con prudenza e lentamente l'ancora.,F,"filare velocemente una quantità di catena opportuna, allentando il barbotin del verricello salpancora.",V,1.4.3-46,BASE,MANOVRA E CONDOTTA,Ancoraggio
544,,"In caso di vento forte, dovendo dare fondo all'ancora per poi ormeggiarsi di poppa alla banchina, è opportuno:",dare fondo all'ancora leggermente sopravento rispetto al posto barca che si vuole occupare.,V,dare fondo all'ancora leggermente sottovento rispetto al posto barca che si vuole occupare.,F,dare fondo in asse rispetto al posto barca che si vuole occupare.,F,1.4.3-47,BASE,MANOVRA E CONDOTTA,Ancoraggio
